Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Exclusive,StreamPL
141,The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,1,0,0,0,1,1,N
142,Colony,2016,16+,7.4,92%,1,0,0,0,1,1,N
143,Wild Wild Country,2018,16+,8.2,98%,1,0,0,0,1,1,N
144,Rectify,2013,16+,8.3,95%,1,0,0,0,1,1,N
145,Pose,2018,16+,8.6,96%,1,0,0,0,1,1,N
146,Marvel's Luke Cage,2016,18+,7.3,87%,1,0,0,0,1,1,N
147,Hollywood,2020,18+,7.7,57%,1,0,0,0,1,1,N
148,Derry Girls,2018,16+,8.4,97%,1,0,0,0,1,1,N
149,Dark Matter,2015,18+,7.5,89%,1,0,0,0,1,1,N
150,On My Block,2018,16+,8.1,97%,1,0,0,0,1,1,N
152,Longmire,2012,16+,8.3,88%,1,0,0,0,1,1,N
153,The Tudors,2007,18+,8.1,69%,1,0,0,0,1,1,N
154,HAPPY!,2017,18+,8.2,84%,1,0,0,0,1,1,N
155,The Stranger,2020,16+,7.3,89%,1,0,0,0,1,1,N
156,Call the Midwife,2012,7+,8.4,89%,1,0,0,0,1,1,N
157,Into the Night,2020,18+,7.2,83%,1,0,0,0,1,1,N
159,Resurrection: Ertugrul,2014,16+,7.7,,1,0,0,0,1,1,N
160,The Inbetweeners,2008,18+,8.4,54%,1,0,0,0,1,1,N
161,Reign,2013,16+,7.5,86%,1,0,0,0,1,1,N
163,The Kominsky Method,2018,18+,8.2,90%,1,0,0,0,1,1,N
164,The 4400,2004,7+,7.3,95%,1,0,0,0,1,1,N
165,The Borgias,2011,18+,7.9,85%,1,0,0,0,1,1,N
166,Marco Polo,2014,18+,8.0,67%,1,0,0,0,1,1,N
167,Queer Eye,2018,16+,8.5,91%,1,0,0,0,1,1,N
168,The Spy,2019,18+,7.9,86%,1,0,0,0,1,1,N
169,Love,2016,18+,7.7,94%,1,0,0,0,1,1,N
170,Designated Survivor,2016,7+,7.5,71%,1,0,0,0,1,1,N
171,Ripper Street,2012,18+,8.1,100%,1,0,0,0,1,1,N
172,Feel Good,2020,,7.5,100%,1,0,0,0,1,1,N
173,Hell on Wheels,2011,16+,8.3,72%,1,0,0,0,1,1,N
174,The Fosters,2013,16+,7.9,97%,1,0,0,0,1,1,N
175,Hawaii Five-0,2010,16+,7.3,82%,1,0,0,0,1,1,N
176,Marvel's The Defenders,2017,18+,7.3,78%,1,0,0,0,1,1,N
177,Allo 'Allo!,1984,7+,8.3,,1,0,0,0,1,1,N
178,Supergirl,2015,7+,6.3,88%,1,0,0,0,1,1,N
180,Limitless,2015,16+,7.7,57%,1,0,0,0,1,1,N
181,Messiah,2020,18+,7.7,44%,1,0,0,0,1,1,N
182,The Shannara Chronicles,2016,16+,7.2,77%,1,0,0,0,1,1,N
183,Crash Landing on You,2019,16+,8.8,,1,0,0,0,1,1,N
185,Top Boy,2011,18+,8.4,95%,1,0,0,0,1,1,N
186,Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,1,0,0,0,1,1,N
187,Haven,2010,16+,7.5,63%,1,0,0,0,1,1,N
188,Queen of the South,2016,16+,7.9,66%,1,0,0,0,1,1,N
189,Delhi Crime,2019,,8.5,91%,1,0,0,0,1,1,N
190,Hart of Dixie,2011,7+,7.7,81%,1,0,0,0,1,1,N
191,Bloodline,2015,18+,8.0,62%,1,0,0,0,1,1,N
192,Middleditch & Schwartz,2020,18+,8.7,100%,1,0,0,0,1,1,N
194,Dirty Money,2018,16+,8.1,100%,1,0,0,0,1,1,N
195,Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,1,0,0,0,1,1,N
196,Babylon Berlin,2017,18+,8.4,,1,0,0,0,1,1,N
197,That '70s Show,1998,16+,8.1,,1,0,0,0,1,1,N
198,The Magicians,2015,16+,7.6,,1,0,0,0,1,1,N
199,Chef's Table,2015,all,8.6,100%,1,0,0,0,1,1,N
200,TURN: Washington's Spies,2014,16+,8.1,81%,1,0,0,0,1,1,N
201,Crazy Ex-Girlfriend,2015,16+,7.8,98%,1,0,0,0,1,1,N
203,Lost Girl,2010,16+,7.7,65%,1,0,0,0,1,1,N
204,Wynonna Earp,2016,16+,7.4,93%,1,0,0,0,1,1,N
206,Galavant,2015,7+,8.1,89%,1,0,0,0,1,1,N
207,Travelers,2016,16+,8.1,,1,0,0,0,1,1,N
208,Hilda,2018,7+,8.6,100%,1,0,0,0,1,1,N
209,The Originals,2013,16+,8.2,27%,1,0,0,0,1,1,N
210,Episodes,2011,18+,7.8,80%,1,0,0,0,1,1,N
212,Living with Yourself,2019,18+,7.2,84%,1,0,0,0,1,1,N
214,F is for Family,2015,18+,8.0,86%,1,0,0,0,1,1,N
215,The Keepers,2017,16+,8.1,96%,1,0,0,0,1,1,N
216,Cheer,2020,16+,8.2,96%,1,0,0,0,1,1,N
217,Disenchantment,2018,16+,7.2,68%,1,0,0,0,1,1,N
218,Dead Set,2008,18+,7.7,90%,1,0,0,0,1,1,N
219,Ezel,2009,all,8.6,,1,0,0,0,1,1,N
220,Nurse Jackie,2009,18+,7.7,81%,1,0,0,0,1,1,N
222,Imposters,2017,16+,7.8,100%,1,0,0,0,1,1,N
225,The Staircase,2005,16+,7.9,93%,1,0,0,0,1,1,N
226,Madam Secretary,2014,16+,7.6,68%,1,0,0,0,1,1,N
227,Chewing Gum,2015,16+,7.7,100%,1,0,0,0,1,1,N
228,Glee,2009,16+,6.7,71%,1,0,0,0,1,1,N
230,The Order,2019,18+,6.9,100%,1,0,0,0,1,1,N
231,Legacies,2018,16+,7.5,,1,0,0,0,1,1,N
232,North & South,2004,7+,8.6,,1,0,0,0,1,1,N
233,Helix,2014,16+,6.8,81%,1,0,0,0,1,1,N
234,Safe,2018,18+,7.3,77%,1,0,0,0,1,1,N
235,Evil Genius,2018,18+,7.6,80%,1,0,0,0,1,1,N
236,Marvel's Iron Fist,2017,18+,6.5,37%,1,0,0,0,1,1,N
237,Lilyhammer,2012,18+,8.0,65%,1,0,0,0,1,1,N
238,Voltron: Legendary Defender,2016,7+,8.1,100%,1,0,0,0,1,1,N
239,Blue Mountain State,2010,18+,8.3,,1,0,0,0,1,1,N
242,Marianne,2019,18+,7.5,93%,1,0,0,0,1,1,N
244,Portlandia,2011,16+,7.8,94%,1,0,0,0,1,1,N
245,Better Than Us,2018,,7.4,100%,1,0,0,0,1,1,N
246,Five Came Back,2017,16+,8.3,97%,1,0,0,0,1,1,N
247,American Crime,2015,16+,7.8,97%,1,0,0,0,1,1,N
248,Skins,2007,18+,8.2,,1,0,0,0,1,1,N
249,Glitch,2015,16+,7.4,80%,1,0,0,0,1,1,N
250,GHOUL,2018,18+,7.1,83%,1,0,0,0,1,1,N
252,The Society,2019,18+,7.0,85%,1,0,0,0,1,1,N
253,Code Geass: Lelouch of the Rebellion,2006,18+,8.6,,1,0,0,0,1,1,N
254,Dracula,2020,18+,6.8,74%,1,0,0,0,1,1,N
255,Quantico,2015,16+,6.7,82%,1,0,0,0,1,1,N
256,The Innocence Files,2020,,8.0,100%,1,0,0,0,1,1,N
257,Medici: Masters of Florence,2016,7+,7.9,,1,0,0,0,1,1,N
258,She-Ra and the Princesses of Power,2018,all,7.3,97%,1,0,0,0,1,1,N
259,Versailles,2015,16+,7.9,66%,1,0,0,0,1,1,N
260,Rise of Empires: Ottoman,2020,18+,8.0,,1,0,0,0,1,1,N
261,The Mechanism,2018,16+,8.4,80%,1,0,0,0,1,1,N
262,Everything Sucks!,2018,16+,7.5,72%,1,0,0,0,1,1,N
263,Raising Dion,2019,7+,7.2,82%,1,0,0,0,1,1,N
264,All American,2018,16+,7.7,96%,1,0,0,0,1,1,N
265,Fullmetal Alchemist,2003,16+,8.6,,1,0,0,0,1,1,N
266,The Rain,2018,18+,6.3,82%,1,0,0,0,1,1,N
268,Nailed It!,2018,7+,7.4,98%,1,0,0,0,1,1,N
269,Last Tango in Halifax,2012,16+,8.3,98%,1,0,0,0,1,1,N
270,Star-Crossed,2014,16+,7.3,57%,1,0,0,0,1,1,N
271,The Politician,2019,16+,7.5,57%,1,0,0,0,1,1,N
272,Documentary Now!,2015,18+,8.1,94%,1,0,0,0,1,1,N
273,Baby,2018,18+,6.8,80%,1,0,0,0,1,1,N
274,Secret City,2016,16+,7.4,100%,1,0,0,0,1,1,N
275,Abstract: The Art of Design,2017,16+,8.4,100%,1,0,0,0,1,1,N
276,Shooter,2016,16+,7.5,44%,1,0,0,0,1,1,N
277,Marcella,2016,18+,7.4,65%,1,0,0,0,1,1,N
278,The Chef Show,2019,18+,8.2,100%,1,0,0,0,1,1,N
280,The Seven Deadly Sins,2014,16+,8.1,,1,0,0,0,1,1,N
282,Yeh Meri Family,2018,,9.2,,1,0,0,0,1,1,N
283,The Circle,2020,18+,7.5,80%,1,0,0,0,1,1,N
284,The Devil Next Door,2019,18+,7.6,91%,1,0,0,0,1,1,N
285,Flowers,2016,,8.2,100%,1,0,0,0,1,1,N
287,The Hollow,2018,7+,7.2,100%,1,0,0,0,1,1,N
288,Frontier,2016,18+,7.2,75%,1,0,0,0,1,1,N
293,Wentworth,2013,18+,8.6,,1,0,0,0,1,1,N
295,Cold Justice,2013,16+,7.9,80%,1,0,0,0,1,1,N
296,Hyperdrive,2019,7+,8.1,100%,1,0,0,0,1,1,N
297,Time: The Kalief Browder Story,2017,16+,8.5,100%,1,0,0,0,1,1,N
298,The Toys That Made Us,2017,16+,8.1,100%,1,0,0,0,1,1,N
299,Seven Seconds,2018,18+,7.7,77%,1,0,0,0,1,1,N
300,Spinning Out,2020,18+,7.7,63%,1,0,0,0,1,1,N
301,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%,1,0,0,0,1,1,N
302,El internado,2007,7+,8.2,,1,0,0,0,1,1,N
303,Frozen Planet,2011,all,9.0,,1,0,0,0,1,1,N
304,London Spy,2015,18+,7.5,86%,1,0,0,0,1,1,N
306,Containment,2016,16+,7.2,50%,1,0,0,0,1,1,N
307,Black Lightning,2018,16+,6.1,95%,1,0,0,0,1,1,N
308,Merlí­,2015,16+,8.6,,1,0,0,0,1,1,N
309,Derek,2013,16+,8.0,68%,1,0,0,0,1,1,N
310,Last Chance U,2016,16+,8.5,93%,1,0,0,0,1,1,N
311,Mars,2016,7+,7.5,61%,1,0,0,0,1,1,N
312,Love is Blind,2020,7+,6.0,73%,1,0,0,0,1,1,N
313,Love 101,2020,18+,7.7,,1,0,0,0,1,1,N
314,3%,2016,7+,7.4,33%,1,0,0,0,1,1,N
315,Zoo,2015,16+,6.8,82%,1,0,0,0,1,1,N
316,Daybreak,2019,18+,6.7,70%,1,0,0,0,1,1,N
317,Hemlock Grove,2013,18+,7.1,38%,1,0,0,0,1,1,N
318,Trailer Park Boys,2001,18+,8.4,,1,0,0,0,1,1,N
320,Ragnarok,2020,18+,7.5,,1,0,0,0,1,1,N
322,Insatiable,2018,16+,6.6,11%,1,0,0,0,1,1,N
323,No Tomorrow,2016,7+,7.2,88%,1,0,0,0,1,1,N
324,The Ranch,2016,16+,7.5,,1,0,0,0,1,1,N
325,Ramayan,1987,all,9.3,,1,0,0,0,1,1,N
326,Surviving R. Kelly,2019,18+,7.6,95%,1,0,0,0,1,1,N
327,Easy,2016,18+,6.9,90%,1,0,0,0,1,1,N
328,Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%,1,0,0,0,1,1,N
329,Knightfall,2017,16+,6.8,60%,1,0,0,0,1,1,N
330,Kim's Convenience,2016,16+,8.1,,1,0,0,0,1,1,N
331,Kengan Ashura,2019,,8.0,,1,0,0,0,1,1,N
332,Spotless,2015,,7.9,100%,1,0,0,0,1,1,N
333,Carmen Sandiego,2019,7+,7.9,93%,1,0,0,0,1,1,N
334,Inside Bill's Brain: Decoding Bill Gates,2019,16+,8.0,50%,1,0,0,0,1,1,N
336,Flint Town,2018,18+,8.0,95%,1,0,0,0,1,1,N
338,Rilakkuma and Kaoru,2019,7+,8.4,100%,1,0,0,0,1,1,N
339,Scooby-Doo! Mystery Incorporated,2010,7+,8.0,,1,0,0,0,1,1,N
340,anohana: The Flower We Saw That Day,2011,16+,8.2,,1,0,0,0,1,1,N
341,Africa,2013,all,9.0,,1,0,0,0,1,1,N
342,The Frankenstein Chronicles,2015,16+,7.3,78%,1,0,0,0,1,1,N
343,Meteor Garden,2018,16+,8.2,,1,0,0,0,1,1,N
344,Wu Assassins,2019,18+,6.4,83%,1,0,0,0,1,1,N
345,The Black Donnellys,2007,16+,8.1,40%,1,0,0,0,1,1,N
347,Collateral,2018,7+,6.7,78%,1,0,0,0,1,1,N
348,1983,2018,18+,6.8,100%,1,0,0,0,1,1,N
349,November 13: Attack on Paris,2018,18+,8.3,100%,1,0,0,0,1,1,N
351,Green Eggs and Ham,2019,,8.2,100%,1,0,0,0,1,1,N
352,The Confession Tapes,2017,16+,7.5,100%,1,0,0,0,1,1,N
353,Bad Blood,2017,18+,7.5,80%,1,0,0,0,1,1,N
354,Formula 1: Drive to Survive,2019,16+,8.6,,1,0,0,0,1,1,N
